Titular,Categoria,predicted_categoria
"Juan fernando cristo: 'yo vivo, como diria uribe, con el karma de los tres huevitos'",Bocas,Bocas
"Juan fernando cristo: 'yo vivo, como diria uribe, con el karma de los tres huevitos'",Bocas,Bocas
Bogota: grave siniestro vial se presento en la calle 183 con carrera 17 cuando un carro perdio el control y se volco tras chocar,Bogota,Bogota
"Bogota: juez de control de garantias dejo en libertad a andres sotelo, imputado por el asesinato de juan felipe rincon, hijo del inspector de la policia nacional",Bogota,Bogota
"El 24 y 31 habra agua permanente, pero ‘el racionamiento sigue hasta cuando sea necesario’",Bogota,Bogota
El entramado criminal con el que se robaban 2.200 galones de gasolina diarios,Bogota,Contenido patrocinado
Video: capturan a hombre que rompio la ventana de un taxi y se llevo un celular en el centro de bogota,Bogota,Bogota
Sandra reyes: la periodista que no fue y la actriz que se popularizo de un dia para otro,Cultura/cine y tv,Cultura/cine y tv
Sandra reyes: la periodista que no fue y la actriz que se popularizo de un dia para otro,Cultura/cine y tv,Cultura/cine y tv
Sandra reyes: la periodista que no fue y la actriz que se popularizo de un dia para otro,Cultura/cine y tv,Cultura/cine y tv
"Se enciende la navidad cultural en bogota, con menos consumo de energia",Cultura/entretenimiento,Cultura/entretenimiento
Aida merlano responde a westcol por enviarle un mensaje a su actual pareja y revela detalles de su relacion pasada con el ‘streamer’: ‘sacate mi nombre de la boca’,Cultura/gente,Cultura/gente
Colombiana se sorprende por lo que pasa los domingos en espana: 'las tres de la tarde y parecen las seis de la manana',Cultura/gente,Cultura/gente
El efecto en la salud de los hombres por orinar sentados: estudio revela el impacto y los paises donde mas varones lo hacen,Cultura/gente,Cultura/gente
El poder del agua de guayaba con canela: para que sirve esta tradicional infusion y su efecto en la salud,Cultura/gente,Cultura/gente
"Fallecimiento de sandra reyes: miguel varoni, alina lozano, javier gomez y mas famosos reaccionan a la muerte de la recordada 'doctora paula' en 'pedro, el escamoso'",Cultura/gente,Cultura/gente
"Jorge rausch, jurado de 'masterchef', confeso que termino su relacion con nathalie monsalve",Cultura/gente,Cultura/gente
La historia de la mujer que buscaba a sus padres biologicos y descubrio que su progenitor era su amigo en facebook,Cultura/gente,Cultura/gente
"Primer domingo de adviento: oracion para la familia, las bendiciones y prosperidad",Cultura/gente,Bogota
La generacion que tiene mas futuro que pasado y esta cambiando a colombia: asi son 'los 40 de menos de 40',Cultura/musica y libros,Cultura/musica y libros
"America apelo a la experiencia, llego de atras, goleo al deportes tolima y sigue vivo en la lucha por llegar a la final de la liga betplay",Deportes/futbol colombiano,Deportes/futbol colombiano
"America apelo a la experiencia, llego de atras, goleo al deportes tolima y sigue vivo en la lucha por llegar a la final de la liga betplay",Deportes/futbol colombiano,Deportes/futbol colombiano
"Deportivo pasto acabo de enterrar las opciones de titulo de santa fe, con dos goles de daniel moreno en tiempo de reposicion",Deportes/futbol colombiano,Deportes/futbol colombiano
"En vivo: atletico nacional ya le gana a millonarios en medellin, en la cuarta fecha de los cuadrangulares semifinales",Deportes/futbol colombiano,Deportes/futbol colombiano
"En vivo: junior vs. once caldas, siga el minuto a minuto en la liga betplay",Deportes/futbol colombiano,Deportes/futbol colombiano
Loteria de boyaca y el cauca: los numeros ganadores del sabado 30 de noviembre,Economia/finanzas personales,Economia/finanzas personales
Industrias y hogares en colombia comienzan a recibir gas importado despues de 45 anos de usar el combustible nacional,Economia/sectores,Energia
